model,RMSE,MAE,DirectionalAccuracy,ForecastCorrelation
HistMean,0.054457042622768605,0.04236798118798936,0.5932203389830508,-0.08348383415841532
RF,0.05739603601862574,0.04442992150608352,0.535593220338983,-0.018582431528295404
Ridge,0.062339696354367764,0.04776469266364819,0.5338983050847458,-0.06063692658189581
GB,0.06651298252365392,0.050773771135740976,0.523728813559322,-0.08381749888080896
