Strategy,CAGR,AnnualMean,AnnualVol,Sharpe,Sortino,MaxDrawdown,Calmar,FinalWealth
MomentumTop3,0.1543445033746862,0.15581402107639575,0.1531532600111311,0.8867850483007992,1.4863566799042354,-0.12097473743422105,1.275840780052196,2.0252683537875926
SPY,0.15007803970428735,0.1520859036313067,0.15224129484713894,0.8676089083709536,1.4269229291090801,-0.23927180704322448,0.6272282621127016,1.9887305488582343
EqualWeight,0.13554673538615836,0.1377092589494891,0.1421819832142861,0.8278774587922751,1.4387396746087435,-0.1582071409442628,0.8567674921444423,1.8682055053734645
GB,0.11849252716178982,0.12227460341606053,0.1410167758967978,0.7252655066437592,1.2090763442202461,-0.15762061642612557,0.751757795702604,1.7342538887491343
RF,0.10116914913864661,0.11006365186562814,0.164993526907085,0.5458617289655665,0.9772296439839357,-0.19469812065279302,0.5196205736318457,1.6061360913289373
HistMean,0.0975746625895022,0.10787515029767233,0.17045682064907372,0.5155273339198577,0.7351403386890123,-0.3359857688895087,0.2904130818159454,1.5805231380867886
Ridge,0.050435226431899904,0.06114396240785071,0.1539023798983297,0.26733805178991416,0.4435453043520793,-0.23496631887730735,0.21464874911810544,1.2736954987582174
