date,strategy,return
2021-02-28,EqualWeight,0.04052374894321017
2021-03-31,EqualWeight,0.060860853137746286
2021-04-30,EqualWeight,0.04188660797375126
2021-05-31,EqualWeight,0.017404612557628953
2021-06-30,EqualWeight,0.003934693527928277
2021-07-31,EqualWeight,0.01181393158861652
2021-08-31,EqualWeight,0.020836083386918645
2021-09-30,EqualWeight,-0.033234431154778185
2021-10-31,EqualWeight,0.07292420185302768
2021-11-30,EqualWeight,-0.01650793824793552
2021-12-31,EqualWeight,0.05765484975763134
2022-01-31,EqualWeight,-0.02306345276763914
2022-02-28,EqualWeight,-0.010721908672827098
2022-03-31,EqualWeight,0.04933363682743037
2022-04-30,EqualWeight,-0.05848824142461842
2022-05-31,EqualWeight,0.017153257413869874
2022-06-30,EqualWeight,-0.08788625438362586
2022-07-31,EqualWeight,0.08476577880892133
2022-08-31,EqualWeight,-0.026026921132374814
2022-09-30,EqualWeight,-0.08786070578086227
2022-10-31,EqualWeight,0.09891829024004234
2022-11-30,EqualWeight,0.05918473161395594
2022-12-31,EqualWeight,-0.04609208853827837
2023-01-31,EqualWeight,0.04650956585268535
2023-02-28,EqualWeight,-0.031139183102619514
2023-03-31,EqualWeight,0.017020851548826908
2023-04-30,EqualWeight,0.01345315461698144
2023-05-31,EqualWeight,-0.03238218522390527
2023-06-30,EqualWeight,0.06968515291162387
2023-07-31,EqualWeight,0.03277223994544179
2023-08-31,EqualWeight,-0.02261746907603395
2023-09-30,EqualWeight,-0.04090152338411041
2023-10-31,EqualWeight,-0.02573819017518581
2023-11-30,EqualWeight,0.07330486482785045
2023-12-31,EqualWeight,0.04014598510418938
2024-01-31,EqualWeight,-0.00310724170640031
2024-02-29,EqualWeight,0.04439663620834364
2024-03-31,EqualWeight,0.04354912798504776
2024-04-30,EqualWeight,-0.031073693279434864
2024-05-31,EqualWeight,0.032015430420088066
2024-06-30,EqualWeight,0.0015726493739533437
2024-07-31,EqualWeight,0.03173395898805842
2024-08-31,EqualWeight,0.026661406351503183
2024-09-30,EqualWeight,0.020547958468317275
2024-10-31,EqualWeight,-0.014796423312692843
2024-11-30,EqualWeight,0.05940216837675121
2024-12-31,EqualWeight,-0.05792006078628701
2025-01-31,EqualWeight,0.03578993094903474
2025-02-28,EqualWeight,0.00307144601717065
2025-03-31,EqualWeight,-0.028949352942965672
2025-04-30,EqualWeight,-0.02247563151288164
2025-05-31,EqualWeight,0.03931699796544194
2025-06-30,EqualWeight,0.029372265088618416
2025-07-31,EqualWeight,0.012922974916770549
2025-08-31,EqualWeight,0.023907049728800867
2025-09-30,EqualWeight,0.015451333013687693
2025-10-31,EqualWeight,0.0021560644551733813
2025-11-30,EqualWeight,0.018597860604657353
2025-12-31,EqualWeight,0.007501068424081702
2021-02-28,GB,0.0752974582551396
2021-03-31,GB,0.04435286208570958
2021-04-30,GB,0.030984330460768757
2021-05-31,GB,0.004341541982158008
2021-06-30,GB,-0.030156873922924873
2021-07-31,GB,-0.009187503921816626
2021-08-31,GB,0.0259862619527292
2021-09-30,GB,-0.03966121096229424
2021-10-31,GB,0.08140725000972689
2021-11-30,GB,-0.047947836486153375
2021-12-31,GB,0.052880786368247036
2022-01-31,GB,-0.039592362978622564
2022-02-28,GB,0.01552825997040741
2022-03-31,GB,0.05075820150469246
2022-04-30,GB,-0.03208197241153043
2022-05-31,GB,0.03996767741447763
2022-06-30,GB,-0.08995904727012619
2022-07-31,GB,0.061626477482810166
2022-08-31,GB,-0.04613914916948151
2022-09-30,GB,-0.08939218726678506
