Strategy,Months,MeanMonthlyReturn,StdDev,Min,Max,PositiveMonthShare
MomentumTop3,59.0,0.012984501756366312,0.04421153794734765,-0.09657534605335619,0.11970126467349146,0.5932203389830508
SPY,59.0,0.01267382530260889,0.04394827628088643,-0.09244573222191832,0.09208750889930539,0.6779661016949152
EqualWeight,59.0,0.011475771579124092,0.041044403141341466,-0.08788625438362586,0.09891829024004234,0.6610169491525424
GB,59.0,0.01018955028467171,0.04070803676213468,-0.08929238060345952,0.08790622996511557,0.6101694915254238
RF,59.0,0.009171970988802345,0.047629528587175646,-0.11092347389918499,0.1527135432690371,0.6271186440677966
HistMean,59.0,0.008989595858139361,0.04920664564347524,-0.1339515848326715,0.11242421384590467,0.6271186440677966
Ridge,59.0,0.005095330200654225,0.04442779023161235,-0.1339515848326715,0.07539861640608395,0.6101694915254238
