date,strategy,return
2021-02-28,EqualWeight,0.04052374894321017
2021-02-28,GB,0.0752974582551396
2021-02-28,HistMean,0.01651250691471621
2021-02-28,MomentumTop3,0.01651250691471621
2021-02-28,RF,-0.019885659917054155
2021-02-28,Ridge,-0.019885659917054155
2021-02-28,SPY,0.02780565662313661
2021-03-31,EqualWeight,0.060860853137746286
2021-03-31,GB,0.04435286208570958
2021-03-31,HistMean,0.046289726226366325
2021-03-31,MomentumTop3,0.04628972622636632
2021-03-31,RF,0.04435286208570958
2021-03-31,Ridge,0.030891650235709868
2021-03-31,SPY,0.04539921408774528
2021-04-30,EqualWeight,0.04188660797375126
2021-04-30,GB,0.03131766379410209
2021-04-30,HistMean,0.056747271776341014
2021-04-30,MomentumTop3,0.041696467001687276
2021-04-30,RF,0.04116979900623925
2021-04-30,Ridge,0.03747061492297613
2021-04-30,SPY,0.05291048388233688
2021-05-31,EqualWeight,0.017404612557628953
2021-05-31,GB,0.005008208648824675
2021-05-31,HistMean,0.0025106759270355043
2021-05-31,MomentumTop3,0.04327558382379962
2021-05-31,RF,0.005008208648824675
2021-05-31,Ridge,0.02426998149918739
2021-05-31,SPY,0.006566174651836398
2021-06-30,EqualWeight,0.003934693527928277
2021-06-30,GB,-0.029490207256258207
2021-06-30,HistMean,0.016933165385720202
2021-06-30,MomentumTop3,-0.035273715329406
2021-06-30,RF,-0.029490207256258207
2021-06-30,Ridge,-0.026957135722744753
2021-06-30,SPY,0.022427461773900204
2021-07-31,EqualWeight,0.01181393158861652
2021-07-31,GB,-0.008187503921816625
2021-07-31,HistMean,0.014923032089156645
2021-07-31,MomentumTop3,-0.026140576934044216
2021-07-31,RF,0.023803980097345967
2021-07-31,Ridge,0.02687016661781453
2021-07-31,SPY,0.02441231169825575
2021-08-31,EqualWeight,0.020836083386918645
2021-08-31,GB,0.026652928619395867
2021-08-31,HistMean,0.02412125468337511
2021-08-31,MomentumTop3,0.014186778168015427
2021-08-31,RF,0.025531730753548306
2021-08-31,Ridge,0.017375879255338084
2021-08-31,SPY,0.029759894168293943
2021-09-30,EqualWeight,-0.033234431154778185
2021-09-30,GB,-0.03932787762896091
2021-09-30,HistMean,-0.03274408834544614
2021-09-30,MomentumTop3,-0.00033207432427895256
2021-09-30,RF,-0.027074766107642884
2021-09-30,Ridge,-0.04579664042269049
2021-09-30,SPY,-0.04660545059373922
2021-10-31,EqualWeight,0.07292420185302768
2021-10-31,GB,0.08240725000972689
2021-10-31,HistMean,0.09181234689148643
2021-10-31,MomentumTop3,0.08133092982342371
2021-10-31,RF,0.08399846132918656
2021-10-31,Ridge,0.059649255245807734
2021-10-31,SPY,0.07016352185271613
2021-11-30,EqualWeight,-0.01650793824793552
2021-11-30,GB,-0.047614503152820044
2021-11-30,HistMean,0.0012466133370461555
2021-11-30,MomentumTop3,-0.020909862554757835
2021-11-30,RF,-0.03540126629661281
2021-11-30,Ridge,-0.018081981512642325
2021-11-30,SPY,-0.008034840829721168
2021-12-31,EqualWeight,0.05765484975763134
2021-12-31,GB,0.05321411970158037
2021-12-31,HistMean,0.0225378718261137
2021-12-31,MomentumTop3,0.03198337549181485
2021-12-31,RF,0.05321411970158037
2021-12-31,Ridge,0.02843580652622483
2021-12-31,SPY,0.04624803147670442
2022-01-31,EqualWeight,-0.02306345276763914
2022-01-31,GB,-0.03859236297862256
2022-01-31,HistMean,-0.07725311803260167
2022-01-31,MomentumTop3,0.03985403236773539
2022-01-31,RF,-0.07725311803260167
2022-01-31,Ridge,-0.05936717414550008
2022-01-31,SPY,-0.05274139332378991
2022-02-28,EqualWeight,-0.010721908672827098
2022-02-28,GB,0.01652825997040741
2022-02-28,HistMean,-0.034419703761255915
2022-02-28,MomentumTop3,0.0026975859514004608
2022-02-28,RF,0.01652825997040741
2022-02-28,Ridge,0.01652825997040741
2022-02-28,SPY,-0.029516992382245477
2022-03-31,EqualWeight,0.04933363682743037
2022-03-31,GB,0.05109153483802579
2022-03-31,HistMean,0.025472321112354424
2022-03-31,MomentumTop3,0.03663304215632479
2022-03-31,RF,0.06297945297531878
2022-03-31,Ridge,0.06297945297531878
2022-03-31,SPY,0.037590257003936145
2022-04-30,EqualWeight,-0.05848824142461842
2022-04-30,GB,-0.0317486390781971
2022-04-30,HistMean,-0.08837879411104457
2022-04-30,MomentumTop3,-0.056675399636636994
2022-04-30,RF,-0.05414817629611967
2022-04-30,Ridge,-0.04280045836172978
2022-04-30,SPY,-0.08776886348449386
2022-05-31,EqualWeight,0.017153257413869874
2022-05-31,GB,0.040301010747810964
2022-05-31,HistMean,-0.015433918064601591
2022-05-31,MomentumTop3,0.05419931103813014
2022-05-31,RF,0.04030101074781097
2022-05-31,Ridge,-0.01468913065967566
2022-05-31,SPY,0.002256970224321586
2022-06-30,EqualWeight,-0.08788625438362586
2022-06-30,GB,-0.08929238060345952
2022-06-30,HistMean,-0.1339515848326715
2022-06-30,MomentumTop3,-0.08192322731762024
2022-06-30,RF,-0.11092347389918499
2022-06-30,Ridge,-0.1339515848326715
2022-06-30,SPY,-0.08246034575025596
2022-07-31,EqualWeight,0.08476577880892133
2022-07-31,GB,0.06262647748281017
2022-07-31,HistMean,0.08930924842356756
2022-07-31,MomentumTop3,0.06103452154599161
2022-07-31,RF,0.05528288541452619
2022-07-31,Ridge,0.04199731876517454
2022-07-31,SPY,0.09208750889930539
2022-08-31,EqualWeight,-0.026026921132374814
2022-08-31,GB,-0.04513914916948151
2022-08-31,HistMean,-0.047298533536968695
2022-08-31,MomentumTop3,0.004423849127895951
2022-08-31,RF,-0.03632962439407964
2022-08-31,Ridge,-0.03701457517986535
2022-08-31,SPY,-0.040801991463419784
2022-09-30,EqualWeight,-0.08786070578086227
2022-09-30,GB,-0.08839218726678506
2022-09-30,HistMean,-0.09910748631055205
2022-09-30,MomentumTop3,-0.09657534605335619
2022-09-30,RF,-0.09215203059146693
2022-09-30,Ridge,-0.0665816952809339
2022-09-30,SPY,-0.09244573222191832
2022-10-31,EqualWeight,0.09891829024004234
2022-10-31,GB,0.07595799435297423
2022-10-31,HistMean,0.11242421384590467
2022-10-31,MomentumTop3,0.11970126467349146
2022-10-31,RF,0.1527135432690371
2022-10-31,Ridge,0.06824967314214536
2022-10-31,SPY,0.08127529984663506
2022-11-30,EqualWeight,0.05918473161395594
2022-11-30,GB,0.08790622996511557
2022-11-30,HistMean,0.048204891663228125
2022-11-30,MomentumTop3,0.047862179850671906
2022-11-30,RF,0.08226066303914713
2022-11-30,Ridge,0.06435693301203496
2022-11-30,SPY,0.05559158500696393
2022-12-31,EqualWeight,-0.04609208853827837
