Ticker,Indicator,Number of observations,Mean,Median,Skewness,Kurtosis,Min,Max,Standard Deviation,Sharpe Ratio
SPY,ret1m,119.0,0.012548192473477899,0.01854927382248417,-0.5048257046247551,0.6804289006649258,-0.12487117726312935,0.12698372422306448,0.04370869029550203,0.8636032812633946
SPY,ret3m,119.0,0.03715174406204317,0.046399597676570536,-0.8630412805519092,1.5263310769792144,-0.20444076026634594,0.1923630380087724,0.06515897448681048,1.8873251478180948
SPY,ret6m,119.0,0.07356961251691688,0.0843371637893946,-0.584956647504454,1.318582489461075,-0.21264036771252748,0.2836083916996245,0.084132607053996,2.961174945280202
SPY,ret12m,119.0,0.14043498209963698,0.1521532757033588,-0.2455512518741514,0.29892916992644203,-0.1745619615762427,0.46751451357776763,0.11785895741136922,4.079111281967819
SPY,vol3m,119.0,0.03800332697948033,0.0316422133885192,1.0549818989124016,1.1919199360056836,0.0037925548186428055,0.1341749636332988,0.02660658628299046,4.732893561592197
SPY,vol6m,119.0,0.04101772790405747,0.039017028444813445,0.5765933628987929,-0.010890356530632861,0.00723591690158967,0.09345180835363445,0.02009329537926436,6.786757943494974
SPY,vol12m,119.0,0.042093953019747735,0.04154106732522233,0.18187707900826014,-0.5449620727210358,0.011180508655570172,0.07460502145798457,0.01563896776812296,8.958167013636768
SPY,mkt_ret1m,119.0,0.012548192473477899,0.01854927382248417,-0.5048257046247551,0.6804289006649258,-0.12487117726312935,0.12698372422306448,0.04370869029550203,0.8636032812633946
SPY,mkt_ret3m,119.0,0.03715174406204317,0.046399597676570536,-0.8630412805519092,1.5263310769792144,-0.20444076026634594,0.1923630380087724,0.06515897448681048,1.8873251478180948
SPY,mkt_vol6m,119.0,0.04101772790405747,0.039017028444813445,0.5765933628987929,-0.010890356530632861,0.00723591690158967,0.09345180835363445,0.02009329537926436,6.786757943494974
SPY,rel_strength3m,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SPY,beta12m,119.0,0.9999999999999999,0.9999999999999998,0.0,0.0,0.9999999999999991,1.0000000000000002,2.734801045835902e-16,1.2645820707682136e+16
SPY,corr12m,119.0,0.9999999999999999,0.9999999999999998,0.0,0.0,0.9999999999999991,1.0000000000000002,2.734801045835902e-16,1.2645820707682136e+16
SPY,drawdown6m,119.0,-0.07890720181712178,-0.06377100662906954,-0.920616194443699,-0.01696740432567534,-0.23927180704322448,0.0,0.06725455081243728,-4.149366955025424
XLB,ret1m,119.0,0.009205982439707978,0.012593246351821463,-0.26014456788654144,0.27558379494424434,-0.13996705742387416,0.15186500176398066,0.05434276677157401,0.481558351506273
