Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2015-02-28,0.05620428940648203,0.07968112911866698,0.0459301238111256,0.05823578434975296,0.05350917062790117,0.07994981795371792,0.04144069719735932,-0.06394879487259164,0.042876165748229944,0.08544076652504651
2015-03-31,-0.015705545597677784,-0.04904837994272371,-0.011552190324409461,-0.006159984755217618,-0.02546031271030913,-0.03435569188125254,-0.01942601569551161,-0.009953425198615307,0.006406318438144432,-0.004830347776626831
2015-04-30,0.009834101902547632,0.033620458264004505,0.06573861711312001,0.0008287614226407669,-0.0025105021953572004,0.027509806848574403,-0.0075915140231332945,-0.004726026605140321,-0.010896871859815027,-0.0005305391301169138
2015-05-31,0.012855825947021282,0.003768002584550567,-0.05188675409706034,0.019478493350777892,0.0032357572840640003,0.01855336717174505,0.008683042479078251,0.006331843981947749,0.04504246173753823,0.01314592907119172
2015-06-30,-0.020312134432621143,-0.03949559697146621,-0.03483480975756548,-0.004610243833386596,-0.026547224264597324,-0.04112845623305905,-0.018343818313835802,-0.05984004995040704,-0.00392001204523118,0.005544395212577546
2015-07-31,0.02258924507214566,-0.05042320873218842,-0.07690290062129279,0.03404436366046237,0.0029597716696285747,0.028502474478616646,0.05693276219078758,0.061022659462013795,0.029574545592964796,0.04890153227860394
2015-08-31,-0.0609500758371353,-0.056366031323736854,-0.04251924807472807,-0.07060693701274712,-0.05403911775498571,-0.05519015746116174,-0.05963018971332934,-0.03478100140974094,-0.07964519367793754,-0.06532057907801958
2015-09-30,-0.025515823722622732,-0.07421394774949153,-0.07193400448749165,-0.028133991992795426,-0.022040476937982834,-0.013718696038402811,0.0038984818490495066,0.02917469652772442,-0.05702823896840503,-0.005869724615043204
2015-10-31,0.08505974132310357,0.13426883886187357,0.11160157321643593,0.06266555537311747,0.08779330228799753,0.10506347686574613,0.057003894359131335,0.010626080667878623,0.07715497764212897,0.09035833691445005
2015-11-30,0.00365510993976792,0.009938064508336009,-0.00014729217484465984,0.01993289169500856,0.008660491948460747,0.00710169826000806,-0.009222429825213818,-0.021257355768494635,-0.003223750813277526,-0.0023464659056128268
2015-12-31,-0.01728248889142603,-0.04340095875600514,-0.10516945156575497,-0.02364322961987575,-0.025724561391136325,-0.02081124021587022,0.029177032371843215,0.02119154567097259,0.01722843445937361,-0.02843123622012078
2016-01-31,-0.049786544214095674,-0.1070933230436264,-0.034979893543317875,-0.08854376574720524,-0.05697021222765575,-0.037123702992410745,0.005347026303959668,0.04944601932517423,-0.0771898666182943,-0.051816801269953805
2016-02-29,-0.0008263182021209792,0.07815307085792966,-0.028002146547405182,-0.029005680801114875,0.04260860355893947,-0.006547284080544724,0.003152578211607082,0.01937464565525948,-0.003610606868096111,0.0044526843273000605
2016-03-31,0.0672663694920268,0.07573085282649261,0.10165893867040432,0.0715910111932403,0.06973539483059787,0.08821711160926915,0.04738300023654407,0.0797645666672182,0.02707490561306236,0.06697475378972206
