Strategy,CAGR,AnnualMean,AnnualVol,Sharpe,Sortino,MaxDrawdown,Calmar,FinalWealth
MomentumTop3,0.15179331356572168,0.1535767329408025,0.15314814101546592,0.8722060356404395,1.4608621671342816,-0.12246830920662699,1.2394497364180794,2.003356405646091
SPY,0.15007803970428735,0.1520859036313067,0.15224129484713894,0.8676089083709536,1.4269229291090801,-0.23927180704322448,0.6272282621127016,1.9887305488582343
EqualWeight,0.13554673538615836,0.1377092589494891,0.1421819832142861,0.8278774587922751,1.4387396746087435,-0.1582071409442628,0.8567674921444423,1.8682055053734645
GB,0.11103125073152498,0.11556273900928088,0.14127911098737153,0.6764109594221818,1.1280177578540498,-0.16083169090282956,0.6903567954067414,1.6781116450690818
RF,0.09477847677943019,0.10423314339105189,0.1651738510814988,0.5099665766676967,0.9149758183394805,-0.19857956168806012,0.4772821330339802,1.5608244718524584
HistMean,0.0956980800888303,0.10618023504343505,0.17061036747186756,0.5051289456817186,0.7196219883441985,-0.3376326876401097,0.28343843351694975,1.5672812149665187
Ridge,0.0453392404444668,0.056262606475647306,0.15386777217305675,0.23567382541200607,0.3905124038603338,-0.23630276411219475,0.19186927675099083,1.2436022415080952
