date,ticker,model,actual,forecast
2021-02-28,SPY,GB,0.02780565662313661,0.020830061302104377
2021-02-28,SPY,HistMean,0.02780565662313661,0.013392224968158312
2021-02-28,SPY,RF,0.02780565662313661,0.010784743478853484
2021-02-28,SPY,Ridge,0.02780565662313661,0.00942582331417745
2021-02-28,XLB,GB,0.041194777849633324,0.001174958056674413
2021-02-28,XLB,HistMean,0.041194777849633324,0.013015433673067988
2021-02-28,XLB,RF,0.041194777849633324,0.010658240225057531
2021-02-28,XLB,Ridge,0.041194777849633324,-0.010541869070791425
2021-02-28,XLE,GB,0.22456785585537986,0.05071435591726198
2021-02-28,XLE,HistMean,0.22456785585537986,0.0014500086681789408
2021-02-28,XLE,RF,0.22456785585537986,0.0017331587715516726
2021-02-28,XLE,Ridge,0.22456785585537986,0.0389331955815524
2021-02-28,XLF,GB,0.11606185032573513,-0.03870347546029857
2021-02-28,XLF,HistMean,0.11606185032573513,0.011713827919792518
2021-02-28,XLF,RF,0.11606185032573513,0.004059388545148199
2021-02-28,XLF,Ridge,0.11606185032573513,0.008641944001425164
2021-02-28,XLI,GB,0.06889235517744652,-0.013165496928829304
2021-02-28,XLI,HistMean,0.06889235517744652,0.012078492096301272
2021-02-28,XLI,RF,0.06889235517744652,-0.01176815658759962
2021-02-28,XLI,Ridge,0.06889235517744652,-0.009283928772655953
2021-02-28,XLK,GB,0.013650861770754696,0.05942797876153001
2021-02-28,XLK,HistMean,0.013650861770754696,0.02171557051540712
2021-02-28,XLK,RF,0.013650861770754696,0.04245658828164882
2021-02-28,XLK,Ridge,0.013650861770754696,0.06798788657317605
2021-02-28,XLP,GB,-0.012326342860715767,0.06372743217197573
2021-02-28,XLP,HistMean,-0.012326342860715767,0.006813448734027041
2021-02-28,XLP,RF,-0.012326342860715767,0.03122908603259702
2021-02-28,XLP,Ridge,-0.012326342860715767,0.06365367347370023
2021-02-28,XLU,GB,-0.060981498661201394,0.044578766528708305
2021-02-28,XLU,HistMean,-0.060981498661201394,0.008787296766895734
2021-02-28,XLU,RF,-0.060981498661201394,0.03467157371891875
2021-02-28,XLU,Ridge,-0.060981498661201394,0.08487867396181449
2021-02-28,XLV,GB,-0.021038000091901488,-0.011043947269688765
2021-02-28,XLV,HistMean,-0.021038000091901488,0.011447168326053222
2021-02-28,XLV,RF,-0.021038000091901488,-0.002230277397055467
2021-02-28,XLV,Ridge,-0.021038000091901488,0.0006855859937808639
2021-02-28,XLY,GB,-0.005308118876239387,-0.02056927918962203
2021-02-28,XLY,HistMean,-0.005308118876239387,0.015568838222156803
2021-02-28,XLY,RF,-0.005308118876239387,-0.0028453375835709315
2021-02-28,XLY,Ridge,-0.005308118876239387,-0.016450336354434592
2021-03-31,SPY,GB,0.04539921408774528,0.028439085407091894
2021-03-31,SPY,HistMean,0.04539921408774528,0.013628510732994021
2021-03-31,SPY,RF,0.04539921408774528,0.012143357531476365
2021-03-31,SPY,Ridge,0.04539921408774528,0.03705533705357074
2021-03-31,XLB,GB,0.0759042217731356,0.010980435557588819
2021-03-31,XLB,HistMean,0.0759042217731356,0.013477390134978897
2021-03-31,XLB,RF,0.0759042217731356,0.010925545253875516
2021-03-31,XLB,Ridge,0.0759042217731356,0.03521444882451412
2021-03-31,XLE,GB,0.029709993801166235,0.11350525219212064
2021-03-31,XLE,HistMean,0.029709993801166235,0.005107678294198628
2021-03-31,XLE,RF,0.029709993801166235,0.028497812709860255
2021-03-31,XLE,Ridge,0.029709993801166235,0.08652575277511337
2021-03-31,XLF,GB,0.05852420002444081,0.02445525190338842
2021-03-31,XLF,HistMean,0.05852420002444081,0.013424451237922724
2021-03-31,XLF,RF,0.05852420002444081,0.014528980307040513
